Ticker,Quantity,Average Price,Current Price,Profit/Loss,FX Profit/Loss,Initial Fill Date,Frontend,Max Buy,Max Sell,Pie Quantity
LGENl_EQ,50.0,252.8,224.5,-14.15,,2024-02-01T10:00:31.000+02:00,IOS,1037535.0,1037585.0,0.0
NESNs_EQ,0.773999,92.33862059,84.32,-5.14,0.37,2024-02-01T10:01:38.000+02:00,AUTOINVEST,197337.226001,197338.0,0.773999
SKX_US_EQ,1.0,63.24,65.72,1.34,-0.56,2024-07-22T17:45:50.000+03:00,WEB,73993.0,73994.0,0.0
AAPL_US_EQ,1.4198586,187.27216921,231.16,43.49,-4.22,2024-01-25T17:46:14.000+02:00,AUTOINVEST,3127265.5801414,3127267.0,0.4198586
AMZN_US_EQ,0.5092311,177.36544371,187.56,3.17,-0.8,2024-01-25T17:46:13.000+02:00,AUTOINVEST,1697291.4907689,1697292.0,0.5092311
NDIAl_EQ,10.0,8.801,10.252,8.96,-2.15,2024-02-01T10:01:10.000+02:00,IOS,49999990.0,50000000.0,0.0
UKDVl_EQ,5.0,10.042,10.78,3.69,,2024-02-01T10:00:55.000+02:00,IOS,49999995.0,50000000.0,0.0
WLDSl_EQ,9.1809,5.55501095,5.916,3.31,,2024-03-18T12:05:23.000+02:00,AUTOINVEST,49999990.8191,50000000.0,9.1809
PSEC_US_EQ,0.80462,5.45599165,5.12,-0.35,-0.14,2024-04-02T16:30:11.000+03:00,AUTOINVEST,68559.19538,68560.0,0.80462
AGNC_US_EQ,0.45064,9.74170069,10.36,0.08,-0.13,2024-04-02T16:30:16.000+03:00,AUTOINVEST,508568.54936,508569.0,0.45064
MAIN_US_EQ,0.093584,46.90972816,51.1,0.17,-0.13,2024-04-02T16:30:25.000+03:00,AUTOINVEST,18145.906416,18146.0,0.093584
ARR_US_EQ,0.22566,19.45404591,19.93,-0.05,-0.13,2024-04-02T16:30:13.000+03:00,AUTOINVEST,40683.77434,40684.0,0.22566
IDP6l_EQ,0.756248,85.76551607,94.2,3.63,-1.25,2024-03-18T12:04:55.000+02:00,AUTOINVEST,49999999.243752,50000000.0,0.756248
SEMBl_EQ,0.07174629,6969.00146335,6873.5,-0.07,,2024-04-02T10:00:38.000+03:00,AUTOINVEST,49999999.92825371,50000000.0,0.07174629
ADC_US_EQ,0.076771,57.18305089,74.7,0.9,-0.13,2024-04-02T16:30:07.000+03:00,AUTOINVEST,34691.923229,34692.0,0.076771
STAG_US_EQ,0.11703,37.51174912,37.62,-0.12,-0.13,2024-04-02T16:30:12.000+03:00,AUTOINVEST,43861.88297,43862.0,0.11703
NVDA_US_EQ,1.0023712,106.89652696,137.94,22.79,-1.04,2024-02-01T16:30:09.000+02:00,AUTOINVEST,18911276.9976288,18911278.0,1.0023712
BAC_US_EQ,2.929261,39.54581036,42.04,4.16,-1.43,2024-02-01T16:30:08.000+02:00,AUTOINVEST,1774090.070739,1774093.0,2.929261
AMD_US_EQ,0.4428201,159.41010808,165.25,0.99,-0.99,2024-02-01T16:30:06.000+02:00,AUTOINVEST,2943128.5571799,2943129.0,0.4428201
JNJ_US_EQ,0.4989975,154.18914924,161.6,1.69,-1.14,2024-02-01T16:30:15.000+02:00,AUTOINVEST,380212.5010025,380213.0,0.4989975
GOOGL_US_EQ,0.5390747,167.54635304,165.01,-1.85,-0.8,2024-01-25T17:46:13.000+02:00,AUTOINVEST,1161562.4609253,1161563.0,0.5390747
DGSEl_EQ,2.85351927,1577.00003897,1586.875,0.28,,2024-03-18T12:58:35.000+02:00,AUTOINVEST,49999997.14648073,50000000.0,2.85351927
LTC_US_EQ,0.135924,32.29746035,35.89,0.25,-0.12,2024-04-02T16:31:18.000+03:00,AUTOINVEST,10800.864076,10801.0,0.135924
AXP_US_EQ,0.384817,240.63385973,277.0,9.54,-1.18,2024-02-01T16:30:09.000+02:00,AUTOINVEST,139247.615183,139248.0,0.384817
MSFT_US_EQ,0.2101244,429.84060871,419.06,-2.54,-0.81,2024-01-25T17:46:13.000+02:00,AUTOINVEST,887755.7898756,887756.0,0.2101244
VUAGl_EQ,1.131982,79.72741616,85.03,6.0,,2024-02-01T10:00:36.000+02:00,AUTOINVEST,49999998.868018,50000000.0,1.131982
BRK/A_US_EQ,0.00019721,644744.18132955,685000.1,4.54,-1.54,2024-02-01T16:33:25.000+02:00,AUTOINVEST,547.99980279,548.0,0.00019721
FB_US_EQ,0.3170159,471.52209085,590.69,27.05,-1.88,2024-01-25T17:46:16.000+02:00,AUTOINVEST,551961.6829841,551962.0,0.1891891
EMSDl_EQ,0.500152,114.42521473,123.37,2.32,-1.11,2024-03-18T12:04:57.000+02:00,AUTOINVEST,49999999.499848,50000000.0,0.500152
